month,day,year,temp[c]
4,1,1801,8.778000000000002
5,1,1801,19.112000000000002
6,1,1801,18.810000000000002
7,1,1801,22.974
8,1,1801,19.470000000000006
9,1,1801,16.52
10,1,1801,9.866999999999999
11,1,1801,4.935000000000001
12,1,1801,0.4160000000000016
1,1,1802,-2.9449999999999994
2,1,1802,-2.1290000000000004
3,1,1802,3.975000000000001
4,1,1802,9.461000000000002
5,1,1802,14.753
6,1,1802,20.307
7,1,1802,23.656
8,1,1802,22.451
9,1,1802,15.589000000000002
10,1,1802,11.075000000000001
11,1,1802,2.7869999999999986
12,1,1802,-0.9259999999999992
1,1,1803,-10.374
2,1,1803,-6.792000000000001
3,1,1803,0.8410000000000019
4,1,1803,10.919000000000002
5,1,1803,16.900000000000002
6,1,1803,19.426000000000005
7,1,1803,22.715
8,1,1803,22.66
9,1,1803,15.507
10,1,1803,8.775000000000002
11,1,1803,3.4310000000000014
12,1,1803,-3.9229999999999996
1,1,1804,-1.892
2,1,1804,-4.28
3,1,1804,-0.8660000000000009
4,1,1804,10.392
5,1,1804,15.796000000000001
6,1,1804,19.458000000000002
7,1,1804,23.277
8,1,1804,21.213000000000005
9,1,1804,16.881000000000004
10,1,1804,9.124
11,1,1804,1.383000000000002
12,1,1804,-5.0729999999999995
1,1,1805,-5.377
2,1,1805,-4.359999999999999
3,1,1805,1.3889999999999998
4,1,1805,7.227999999999999
5,1,1805,14.996000000000002
6,1,1805,19.640000000000004
7,1,1805,22.172
8,1,1805,21.235
9,1,1805,16.645
10,1,1805,5.592000000000002
11,1,1805,0.19300000000000023
12,1,1805,-0.3719999999999995
1,1,1806,-1.3299999999999992
2,1,1806,-3.0020000000000007
3,1,1806,1.3600000000000003
4,1,1806,8.542
5,1,1806,16.526
6,1,1806,17.88
7,1,1806,20.949999999999996
8,1,1806,21.503
9,1,1806,17.718000000000004
10,1,1806,8.101
11,1,1806,2.874000000000001
12,1,1806,0.682999999999999
1,1,1807,-4.396000000000001
2,1,1807,-1.1909999999999994
3,1,1807,0.7380000000000012
4,1,1807,7.445000000000002
5,1,1807,14.237000000000002
6,1,1807,19.358999999999998
7,1,1807,21.799000000000003
8,1,1807,23.042
9,1,1807,16.799
10,1,1807,9.516
11,1,1807,5.313000000000001
12,1,1807,0.472999999999999
1,1,1808,-2.572
2,1,1808,-4.613
3,1,1808,-3.54
4,1,1808,7.125000000000002
5,1,1808,14.158999999999999
6,1,1808,20.132
7,1,1808,22.312000000000005
8,1,1808,21.752
9,1,1808,17.735000000000003
10,1,1808,9.797
11,1,1808,1.2780000000000018
12,1,1808,-6.678
1,1,1809,-8.93
2,1,1809,-2.5490000000000004
3,1,1809,-3.3440000000000007
4,1,1809,7.144000000000001
5,1,1809,13.983000000000002
6,1,1809,19.863
7,1,1809,20.125999999999998
8,1,1809,21.195
10,1,1809,8.02
11,1,1809,-0.13100000000000062
12,1,1809,-1.6800000000000006
1,1,1810,-5.408
2,1,1810,-1.8219999999999992
3,1,1810,2.2359999999999998
4,1,1810,6.373000000000002
5,1,1810,13.435
6,1,1810,16.987000000000002
7,1,1810,21.154999999999998
8,1,1810,19.621999999999996
9,1,1810,14.665
10,1,1810,6.006
11,1,1810,1.2380000000000004
12,1,1810,-0.32400000000000084
1,1,1811,-7.204
2,1,1811,-4.912
3,1,1811,2.0950000000000006
4,1,1811,6.365999999999999
5,1,1811,16.135
6,1,1811,20.500999999999998
7,1,1811,21.634999999999998
8,1,1811,22.380999999999997
9,1,1811,13.662
10,1,1811,8.873000000000001
11,1,1811,1.5170000000000015
12,1,1811,-0.016999999999999856
1,1,1812,-6.737
2,1,1812,-5.056
3,1,1812,0.09699999999999895
4,1,1812,6.158999999999999
5,1,1812,13.715
6,1,1812,19.682
7,1,1812,23.195999999999998
8,1,1812,22.468999999999998
9,1,1812,13.298
10,1,1812,9.914
11,1,1812,1.966000000000001
12,1,1812,-9.186
1,1,1813,-10.671
2,1,1813,-4.152000000000001
3,1,1813,-1.2069999999999996
4,1,1813,8.563000000000002
5,1,1813,16.249
6,1,1813,18.04
7,1,1813,20.373000000000005
8,1,1813,19.382000000000005
9,1,1813,15.352000000000002
10,1,1813,8.079999999999998
11,1,1813,6.160000000000001
12,1,1813,-1.4090000000000005
1,1,1814,-3.3649999999999993
2,1,1814,-6.965999999999999
3,1,1814,1.0739999999999996
4,1,1814,9.068000000000001
5,1,1814,12.266000000000002
6,1,1814,18.287000000000003
7,1,1814,21.740999999999996
8,1,1814,20.729000000000003
9,1,1814,13.74
10,1,1814,6.765
11,1,1814,1.6220000000000014
12,1,1814,2.127999999999999
1,1,1815,-6.333
2,1,1815,-3.931000000000001
3,1,1815,-0.5340000000000009
4,1,1815,7.6610000000000005
5,1,1815,15.066
6,1,1815,19.284000000000002
7,1,1815,20.36
8,1,1815,20.153999999999996
